,class,position x,position y,position z,rotation,scale l,scale w,scale h,file_name
0,Car,36.68980497585881,-17.355506685517117,-10.645173920518861,-0.23419634604289805,4.548734304562119,1.654718820185995,1.4877431533057328,Suwon_A_2210261635_0000_0000
1,Car,40.21044519575321,-8.518800876372373,-11.052930557358435,-0.2550280034506941,2.0613476677679303,0.39223535681555827,0.7521319969243949,Suwon_A_2210261635_0000_0001
2,Bus,33.753900175005946,-29.224325616182686,-8.852093359220202,-0.9384243648891789,10.788748421321952,2.479925619830399,3.375624162243656,Suwon_A_2210261635_0000_0002
3,Bus,42.78568207171358,-22.82904782630046,-9.452041264958197,-0.956273598527988,10.735777366828543,2.4517292700793494,3.166889850473038,Suwon_A_2210261635_0000_0003
4,SUV,26.932585984025664,-28.442107783272014,-9.924473148405147,-0.9290913771113588,2.956964729312366,0.17670360951669217,0.9803855611227927,Suwon_A_2210261635_0000_0004
5,SUV,36.76069775412393,-22.25446278289324,-10.01260721199668,-0.9565050032165893,3.710214113398356,1.6075462041782145,0.8975996307504654,Suwon_A_2210261635_0000_0005
6,Light_Car,25.01280449796971,24.11106845294623,-13.64224914638347,-2.064347491843989,0.6105826499655924,0.9782094601507891,1.2415060997009277,Suwon_A_2210261635_0000_0006
7,Car,29.21341884004347,-27.8610606018353,-9.760285768095246,-0.92229039489527,4.581102086377441,1.5368395313991459,1.3866652900209018,Suwon_A_2210261635_0000_0007
8,SUV,32.74386593845905,-28.9749305466766,-9.588113410539325,-0.9109203433844477,3.8416069141541063,1.5441289425118865,1.1680728392430841,Suwon_A_2210261635_0000_0008
9,Car,27.457244560592706,-28.303866711410425,-9.923808630363967,-0.795281463571095,3.9541083971021243,1.063209996999885,1.146842310924295,Suwon_A_2210261635_0000_0009
10,Adult,12.66729817621559,-12.475309274018407,-10.950614929199219,-0.9337511379481032,0.5699298682543552,0.6932620245074277,1.7113075256347656,Suwon_A_2210261635_0039_0000
11,Adult,13.948935026210512,-10.814468983524815,-11.217810363352262,-1.064650830986538,0.45553237296072924,0.5575409405665359,1.7492700203657896,Suwon_A_2210261635_0039_0001
12,Adult,15.381699801396849,-9.604005044654556,-11.3561429977417,-1.0733774769847395,0.614933174124158,0.44854924408315217,1.60479736328125,Suwon_A_2210261635_0039_0002
13,Adult,16.69185598056573,-8.755055128363288,-11.431474208831787,-1.003564307094327,0.5502834585588795,0.7069225982046697,1.5984373092651367,Suwon_A_2210261635_0039_0003
14,Adult,17.930475229791696,-7.602241732398012,-11.480456352233887,-1.0733774771740998,0.4219781752031916,0.4337387184288849,1.6542072296142578,Suwon_A_2210261635_0039_0004
15,Adult,19.152242943636313,-6.649370548367589,-11.50102424621582,-1.0733774769352982,0.3175014382473809,0.4810435700358712,1.6978263854980469,Suwon_A_2210261635_0039_0005
16,Adult,20.43223206461882,-5.781252806004002,-11.709121227264404,-1.0733774769352982,0.4214228532872869,0.6194794724596647,1.431096076965332,Suwon_A_2210261635_0039_0006
17,Adult,21.728351134277016,-4.881939775851466,-11.694159030914307,-1.0733774769352982,0.48177456245195255,0.5522277605197404,1.4324712753295898,Suwon_A_2210261635_0039_0007
